"MAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,
Personal income (Percent of U.S.) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
Combined Statistical Area,,,,,,,
GeoFips,GeoName,2012,2013,2014,2015,2016,2017
89273,"Greenville-Spartanburg-Anderson, SC (Combined Statistical Area)",0.3,0.3,0.3,0.4,0.4,0.4
89274,"Greenville-Washington, NC (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89276,"Harrisburg-York-Lebanon, PA (Combined Statistical Area)",0.4,0.4,0.4,0.4,0.4,0.4
89277,"Harrisonburg-Staunton-Waynesboro, VA (Combined Statistical Area)*",0.1,0.1,0.1,0.1,0.1,0.1
89278,"Hartford-West Hartford, CT (Combined Statistical Area)",0.6,0.6,0.6,0.5,0.5,0.5
89280,"Hickory-Lenoir, NC (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89284,"Hot Springs-Malvern, AR (Combined Statistical Area)",0,0,0,0,0,0
89288,"Houston-The Woodlands, TX (Combined Statistical Area)",2.3,2.3,2.4,2.4,2.2,2.2
89290,"Huntsville-Decatur-Albertville, AL (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89292,"Idaho Falls-Rexburg-Blackfoot, ID (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89294,"Indianapolis-Carmel-Muncie, IN (Combined Statistical Area)",0.7,0.7,0.7,0.7,0.7,0.7
89296,"Ithaca-Cortland, NY (Combined Statistical Area)",0,0,0,0,0,0
89297,"Jackson-Brownsville, TN (Combined Statistical Area)",0,0,0,0,0,0
89298,"Jackson-Vicksburg-Brookhaven, MS (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89300,"Jacksonville-St. Marys-Palatka, FL-GA (Combined Statistical Area)",0.4,0.4,0.4,0.4,0.4,0.5
89304,"Johnson City-Kingsport-Bristol, TN-VA (Combined Statistical Area)*",0.1,0.1,0.1,0.1,0.1,0.1
89306,"Johnstown-Somerset, PA (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0
89308,"Jonesboro-Paragould, AR (Combined Statistical Area)",0,0,0,0,0,0
89309,"Joplin-Miami, MO-OK (Combined Statistical Area)",0.1,0,0,0,0,0
89310,"Kalamazoo-Battle Creek-Portage, MI (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89312,"Kansas City-Overland Park-Kansas City, MO-KS (Combined Statistical Area)",0.7,0.7,0.7,0.7,0.7,0.7
89314,"Knoxville-Morristown-Sevierville, TN (Combined Statistical Area)",0.3,0.3,0.3,0.3,0.3,0.3
89316,"Kokomo-Peru, IN (Combined Statistical Area)",0,0,0,0,0,0
89318,"Lafayette-Opelousas-Morgan City, LA (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89320,"Lafayette-West Lafayette-Frankfort, IN (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89324,"Lake Charles-Jennings, LA (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89330,"Lansing-East Lansing-Owosso, MI (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89332,"Las Vegas-Henderson, NV-AZ (Combined Statistical Area)",0.6,0.6,0.6,0.6,0.6,0.6
89336,"Lexington-Fayette--Richmond--Frankfort, KY (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89338,"Lima-Van Wert-Celina, OH (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89339,"Lincoln-Beatrice, NE (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89340,"Little Rock-North Little Rock, AR (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89346,"Longview-Marshall, TX (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89348,"Los Angeles-Long Beach, CA (Combined Statistical Area)",6,6,6,6.1,6.2,6.1
89350,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN (Combined Statistical Area)",0.4,0.4,0.4,0.4,0.4,0.4
89352,"Lubbock-Levelland, TX (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89356,"Macon-Bibb County--Warner Robins, GA (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89357,"Madison-Janesville-Beloit, WI (Combined Statistical Area)",0.3,0.3,0.3,0.3,0.3,0.3
89358,"Manhattan-Junction City, KS (Combined Statistical Area)",0,0,0,0,0,0
89359,"Mankato-New Ulm-North Mankato, MN (Combined Statistical Area)",0,0,0,0,0,0
89360,"Mansfield-Ashland-Bucyrus, OH (Combined Statistical Area)",0.1,0.1,0.1,0,0,0
89362,"Martin-Union City, TN-KY (Combined Statistical Area)",0,0,0,0,0,0
89365,"McAllen-Edinburg, TX (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89366,"Medford-Grants Pass, OR (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89368,"Memphis-Forrest City, TN-MS-AR (Combined Statistical Area)",0.4,0.4,0.4,0.4,0.4,0.4
89370,"Miami-Fort Lauderdale-Port St. Lucie, FL (Combined Statistical Area)",2.1,2.1,2.1,2.2,2.2,2.2
89372,"Midland-Odessa, TX (Combined Statistical Area)",0.2,0.2,0.2,0.1,0.1,0.1
89376,"Milwaukee-Racine-Waukesha, WI (Combined Statistical Area)",0.7,0.7,0.6,0.6,0.6,0.6
89378,"Minneapolis-St. Paul, MN-WI (Combined Statistical Area)",1.4,1.3,1.4,1.4,1.4,1.4
89380,"Mobile-Daphne-Fairhope, AL (Combined Statistical Area)",0.2,0.2,0.1,0.1,0.1,0.1
89382,"Modesto-Merced, CA (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89384,"Monroe-Ruston-Bastrop, LA (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89390,"Morgantown-Fairmont, WV (Combined Statistical Area)",0.1,0,0,0,0,0
