CBSA_Title,PerChangeGDP,NatResMining,Constr,DurGoManu,NonGoodManu,Trade,TransUtil,Info,FinInsRealEstRentLea,ProBusiServi,EdSerHealthSociAs,ArtEntRec,OtherServices,Govern
"Laredo, TX",1,0.66,-0.08,-0.05,-0.19,-0.5,0.6,0.11,-0.02,0.42,-0.02,-0.01,0.07,0.04
"Las Cruces, NM",0.3,-0.42,-0.1,-0.04,-0.03,-0.02,0.21,0.11,0.57,-0.39,0.74,0.33,-0.02,-0.6
"Las Vegas-Henderson-Paradise, NV",2.7,0.03,0.09,0.26,0.04,0.56,0.1,0.05,0.72,0.5,0.32,-0.38,0.06,0.37
"Lawrence, KS",1,-0.17,0.24,0.51,0.36,,,-0.83,0.12,0.3,0.25,0.23,0.02,0.01
"Lawton, OK",-0.1,-0.01,-0.14,-0.02,0.24,,,0.15,0.33,0.57,-0.06,-0.12,-0.06,-1.01
"Lebanon, PA",1.9,-0.15,-0.12,0.46,0.39,0.34,-0.02,0.26,0.64,0.25,0.32,-0.02,-0.14,-0.27
"Lewiston, ID-WA",2.9,-0.64,0.18,0.93,0.18,0.05,0.19,0.18,0.16,0.44,0.85,0.08,0.05,0.27
"Lewiston-Auburn, ME",1.4,-0.06,-0.12,0.1,0.16,0.44,0.37,-0.46,0.55,0.59,-0.24,0.07,-0.03,0.01
"Lexington-Fayette, KY",1.1,0.04,0,-0.12,0.45,,,-0.03,0.17,,0.13,0.04,0.06,-0.09
"Lima, OH",2.4,0.08,-0.08,-0.07,1.21,0.17,0.24,-0.14,-0.37,0.03,1.23,-0.02,-0.01,0.1
"Lincoln, NE",1.4,-0.16,0.09,0.19,0.27,,,-0.02,0.61,0.34,0.02,0.06,-0.02,-0.06
"Little Rock-North Little Rock-Conway, AR",1,-0.24,-0.1,0.07,0.11,0.41,0.13,-0.13,0.29,0.15,0.4,0.04,0.01,-0.17
"Logan, UT-ID",0.8,-0.18,0.17,0.35,-0.01,0.96,-0.03,,-1.96,1.01,0.42,0.07,,0.27
"Longview, TX",2.4,1.75,-1.34,1.01,0.37,0.02,-0.21,-0.1,0.36,0.29,0.01,-0.01,0.13,0.08
"Longview, WA",3.2,-0.38,0.81,-0.03,-0.42,0.34,0.77,0.04,0.82,0.41,0.43,0.06,0.1,0.3
"Los Angeles-Long Beach-Anaheim, CA",2.8,-0.13,0.06,0.12,-0.05,0.32,0.13,0.72,0.34,0.61,0.23,0.15,0.2,0.08
"Louisville/Jefferson County, KY-IN",1.5,0.02,-0.03,,,0.39,0.15,0.2,-0.03,0.03,,0.06,,-0.07
"Lubbock, TX",1.6,0.05,0.23,,-0.09,0.45,0.23,-0.85,,,0.28,0.13,0.06,0.2
"Lynchburg, VA",2.4,-0.02,-0.11,0.76,0.39,0.85,-0.27,0.07,-0.03,0.08,0.39,0,0.18,0.15
"Macon, GA",0.7,-0.04,-0.16,-0.13,0.08,0.47,0.17,-0.06,,0.21,-0.02,0.02,0.05,0.16
"Madera, CA",-4.3,-3.74,-0.13,0.08,-0.19,0.19,-0.16,0.13,-1.13,0.06,0.59,0.17,-0.38,0.2
"Madison, WI",1.8,-0.1,0.05,0.19,0.14,0.25,0.25,0.31,0.13,0.09,0.32,0.09,0.01,0.07
"Manchester-Nashua, NH",1.5,,,0.68,0.12,0.08,0.01,0.27,0.39,-0.11,0.31,-0.06,-0.12,-0.08
"Manhattan, KS",1.8,-0.33,-0.44,0.04,0.22,0.09,0.11,0.28,1.23,0.14,0.37,0.04,0.1,-0.02
"Mankato-North Mankato, MN",2.7,-0.77,0.73,0.47,0.58,0.26,0.07,-0.06,0.02,0.44,0.73,0.1,0.07,0.04
"Mansfield, OH",1.4,-0.19,0.19,0.9,0.36,0.39,0.23,-0.44,-0.26,0.02,0.19,0.04,-0.19,0.14
"McAllen-Edinburg-Mission, TX",1.9,0,0.25,0.1,-0.03,0.61,0.15,0.15,0.01,0.26,0.19,0.01,0.07,0.16
"Medford, OR",2.6,0.22,0.24,0.08,0.11,0.36,0.29,-0.09,0.06,0.37,0.83,0.22,-0.09,0.03
"Memphis, TN-MS-AR",0.4,-0.03,0.12,-0.1,0.18,0.27,0.05,0.04,-0.45,0.12,0.02,0.1,0.06,-0.01
"Merced, CA",-0.4,-2.28,0.11,0.11,-0.13,,,0.05,-0.44,0.41,0.38,0,0.06,0.23
"Miami-Fort Lauderdale-West Palm Beach, FL",2.4,-0.03,0.08,0.03,0,0.42,0.25,0.28,0.64,0.37,0.22,0.07,-0.02,0.05
"Michigan City-La Porte, IN",0.4,-0.31,0.07,0.98,-0.22,0.21,0.16,-0.02,-0.58,0.28,-0.1,0.04,-0.05,-0.1
"Midland, MI",9.5,0,-0.26,1.59,-0.09,-0.02,-0.04,-0.06,0.2,8.5,-0.48,0.07,0.15,-0.01
"Midland, TX",7.6,4.71,0.35,0.26,0.05,1.4,0.35,0.1,-0.52,,-0.02,0.11,0.26,0.03
"Milwaukee-Waukesha-West Allis, WI",1.2,-0.06,-0.04,0.37,0.2,0.26,-0.03,-0.01,0.15,0.01,0.14,0.09,0.06,0
"Minneapolis-St. Paul-Bloomington, MN-WI",2.2,-0.05,0.05,0.26,-0.08,0.51,0.18,0.07,0.41,0.35,0.3,0.13,0.06,0.01
"Missoula, MT",2.8,-0.02,0.49,0.2,-0.1,0.32,0.16,0.33,0.33,0.54,0.48,-0.03,0.09,0.01
"Mobile, AL",-0.2,-0.16,-0.23,-0.27,-0.06,0.03,-0.23,0.48,-0.25,0.29,0.25,-0.02,-0.02,-0.01
"Modesto, CA",-0.3,-1.19,0.05,-0.03,-0.46,0.55,-0.3,0.14,-0.55,0.44,0.64,0.11,0.11,0.17
"Monroe, LA",1.1,2.16,-0.08,-0.01,-0.68,-0.02,-0.01,0.59,-0.41,-0.4,0.09,0.01,-0.06,-0.06
"Monroe, MI",-0.2,-0.33,-0.57,-0.22,0.68,0.39,1.06,0.26,-0.43,-0.18,-0.54,-0.23,-0.03,-0.02
"Montgomery, AL",-0.7,0.16,-0.2,-0.53,-0.21,-0.02,0.2,0.1,-0.26,0.11,0.03,-0.04,0.06,-0.11
"Morgantown, WV",3,0.52,0.52,0.05,-0.26,0.02,0.85,-0.18,-0.4,0.61,1.45,0,0.09,-0.23
"Morristown, TN",2.8,-0.1,0.13,0.93,0.39,-0.12,,-0.07,-0.1,,0.33,-0.01,0.37,0.1
"Mount Vernon-Anacortes, WA",2.6,-0.44,0.72,0.02,-0.38,0.39,0.16,0.11,0.71,0.26,0.11,0.18,0.35,0.4
"Muncie, IN",0.5,-0.04,0.08,-0.07,-0.08,0.39,0.08,0.04,-0.67,0.19,0.9,-0.14,-0.01,-0.16
"Muskegon, MI",0.5,0.04,0.03,-0.27,-0.64,0.78,0.08,-0.19,-0.74,0.92,0.42,0.12,-0.06,-0.03
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",1.8,-0.01,0.48,0.3,-0.07,0.68,0.04,-0.09,-1.02,0.47,0.32,0.4,0.16,0.09
"Napa, CA",2.9,-0.16,0.08,0.02,1.45,-0.25,0.07,0.03,1.15,-0.22,0.27,0.21,0.07,0.13
"Naples-Immokalee-Marco Island, FL",1.2,0.06,-0.01,0.02,0.04,0.4,0.02,-0.16,0.97,-0.67,0.22,0.3,-0.04,0.06
"Nashville-Davidson--Murfreesboro--Franklin, TN",4.1,-0.03,0.21,,,0.7,0.24,0.09,0.48,0.23,0.89,0.42,0.15,0.03
"New Bern, NC",-1.1,,-0.08,0.14,0.02,-0.02,0.37,,,-0.36,0.22,-0.15,0,-0.27
"New Haven-Milford, CT",1.7,-0.01,-0.17,0.68,0.18,0.1,-0.08,0.12,0.57,0.05,0.27,0.26,0.07,-0.33
"New Orleans-Metairie, LA",-0.9,,,0.05,-0.8,0.05,,0.11,0.13,0.29,0,0.02,0.04,-0.12
"New York-Newark-Jersey City, NY-NJ-PA",1.3,,-0.06,0.03,-0.05,0.29,,-0.02,0.34,,0.23,0.11,0.03,-0.09
"Niles-Benton Harbor, MI",-0.4,-0.83,-0.07,0.43,0.03,-0.21,-0.38,0.1,0.23,0.11,0.05,0.11,0.05,-0.02
"North Port-Sarasota-Bradenton, FL",2.3,-0.22,0.32,0.35,-0.25,0.47,0.08,-0.12,0.62,0.43,0.39,0.13,0,0.06
"Norwich-New London, CT",2.5,-0.03,-0.19,0.29,-0.24,0.09,0.04,0.58,1.65,0.27,0.06,0.11,0.04,-0.25
"Ocala, FL",0.7,0.05,0.2,0.42,0.02,0.81,0.18,0.04,0.3,-1.66,0.13,0.02,0.08,0.12
"Ocean City, NJ",-0.2,,-0.87,,,0.23,-0.12,0,0.05,0.38,0.05,0.52,0.04,-0.41
"Odessa, TX",12.1,,-0.54,0.9,-1.15,1.73,0.67,0.15,0.78,0.22,,0.29,0.47,0.12
"Ogden-Clearfield, UT",2.9,0.01,0,0.3,-0.49,0.43,0.3,,0.92,0.57,0.61,0.17,,-0.09
"Oklahoma City, OK",2.3,1.36,-0.08,0.06,-0.18,,,-0.07,0.35,0.41,0.06,-0.11,0.02,-0.34
"Olympia-Tumwater, WA",5.1,,0.74,-0.05,0.19,0.26,0.19,,0.78,0.33,0.81,0.28,0.39,0.87
"Omaha-Council Bluffs, NE-IA",0.9,-0.15,-0.04,0.12,0.2,0.34,-0.03,0.04,0.14,0.12,0.13,0.08,0.04,-0.08
"Orlando-Kissimmee-Sanford, FL",1.9,-0.04,0.42,0.14,0.05,0.57,0.14,0.22,-1.02,1.11,0.13,0.14,0,0.04
"Oshkosh-Neenah, WI",1.6,-0.02,0.15,0.74,-0.32,0.38,0.03,-0.06,0.54,-0.05,0.16,-0.04,0.03,0.06
"Owensboro, KY",0.5,0.57,-0.41,0.12,0.8,0.11,-0.27,,0.2,0.28,0.01,0.03,-0.24,-0.03
"Oxnard-Thousand Oaks-Ventura, CA",-0.4,0.1,0.07,0.19,-1.42,0.43,-0.02,0.16,-0.34,0.18,0.18,0.1,-0.02,0.02
"Palm Bay-Melbourne-Titusville, FL",4.7,-0.05,0.26,1.99,0.16,0.23,-0.01,0.55,-0.18,0.82,0.01,0.04,0.92,-0.03
"Panama City, FL",-1.4,0.12,-0.06,-1.43,0.18,-0.03,-0.03,-0.51,0.27,-0.05,0.19,-0.11,0.16,-0.09
"Parkersburg-Vienna, WV",2.4,3.59,0.04,0.2,-0.8,-0.41,0.05,-0.7,0.2,0.78,-0.15,0,-0.05,-0.39
"Pensacola-Ferry Pass-Brent, FL",1.7,-0.06,0.17,0.07,-0.33,0.57,-0.02,0.31,-0.14,0.74,0.2,0.3,-0.02,-0.05
"Peoria, IL",-5.2,-0.2,-0.37,-2.15,-0.07,,,-0.24,-0.64,-1.65,0.26,-0.06,-0.08,-0.07
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1.4,,,,,0.05,0.06,0.46,0.42,0.48,0.23,0.02,0.02,-0.08
"Phoenix-Mesa-Scottsdale, AZ",3.4,0.09,0.27,0.27,0.08,0.53,0.19,0.05,0.4,0.53,0.54,0.26,0.09,0.12
"Pine Bluff, AR",-1.7,,,0.18,0.21,-0.14,-0.69,,-0.68,,0.3,-0.04,-0.12,-0.28
"Pittsburgh, PA",3.7,1.89,0.24,0.2,-0.18,0.1,0.15,0.24,0.75,0,0.3,0.06,0,-0.05
"Pittsfield, MA",-0.4,,,-0.47,-1.52,0.11,0.06,0.11,0.32,0.35,0.11,0.06,0,-0.05
"Pocatello, ID",2.4,-0.21,0.33,-0.35,0.44,0.34,0.4,0.04,-0.25,0.71,0.45,0.16,0.03,0.3
"Portland-South Portland, ME",1.7,0.02,0.09,0.07,0.23,0.37,0.09,0,0.15,0.21,0.38,0.2,0.04,-0.13
"Portland-Vancouver-Hillsboro, OR-WA",3,-0.04,0.23,0.02,0.17,0.59,0.2,0.25,,0.54,0.27,0.2,,0.06
"Port St. Lucie, FL",3.1,-0.23,0.16,0.1,0.01,0.56,-0.18,0.07,1.59,0.14,0.49,0.39,-0.06,0.11
"Prescott, AZ",4.1,0.55,0.37,-0.31,0.72,0.4,-0.23,0.09,0.72,0.71,0.26,0.51,0.14,0.15
"Providence-Warwick, RI-MA",1.6,-0.01,-0.05,0.26,-0.01,0.29,0.13,-0.34,1.01,0.37,0.09,0.05,0.02,-0.22
"Provo-Orem, UT",5.6,,0.49,0.53,0.03,1.97,-0.05,-0.08,1.14,0.88,0.45,0.16,0.13,0.14
"Pueblo, CO",2.9,-0.1,-0.21,0.79,0.04,0.25,0.23,0.09,0.09,0.39,0.94,0.09,0.05,0.21
"Punta Gorda, FL",2.3,-0.4,-0.07,-0.12,0.01,0.58,0.06,0.33,0.68,0.14,0.44,0.32,0.2,0.1
"Racine, WI",0.3,-0.2,0,0.03,-0.65,0.37,-0.03,-0.04,-0.06,0.62,-0.04,0.18,0.01,0.07
"Raleigh, NC",2.7,,0.27,0.27,-0.09,0.72,,0.24,0.05,0.79,0.32,,-0.01,0.12
"Rapid City, SD",1.9,-0.01,-0.11,,,0.35,0.01,-0.1,0.38,0.31,0.66,0.09,-0.03,0.27
"Reading, PA",-6.6,0.07,-0.32,0.44,0.07,0.06,-0.15,0.13,-7.51,0.24,0.37,-0.02,0.06,0
"Redding, CA",4.7,0.13,0.4,0.28,0.09,0.64,0.29,0.07,1.94,0.78,0.19,-0.05,-0.17,0.13
"Reno, NV",5.6,0.08,0.98,0.9,0.15,0.66,0.12,,0.53,0.68,0.19,0.57,0.12,0.44
"Richmond, VA",2.6,,,,,,,0.02,0.63,0.78,0.17,0.07,,0.09
"Riverside-San Bernardino-Ontario, CA",2.9,0.19,0.17,0.09,0.12,0.85,0.27,0.13,-0.13,0.52,0.37,0.17,0.06,0.13
"Roanoke, VA",0,0.08,-0.48,-0.32,0.52,0.12,-0.02,0,0.26,,-0.08,0.04,,0.07
"Rochester, MN",3.6,-0.25,0.06,0.28,0.06,,,0.19,0.89,-0.03,2.1,0.2,0.02,0
"Rochester, NY",-0.4,-0.08,-0.01,-0.04,-0.04,0.13,0.12,-0.1,-0.69,0.15,0.27,0.01,-0.04,-0.04
"Rockford, IL",3.2,0.01,-0.05,2.34,0.12,0.43,-0.09,-0.03,0.01,0.34,0.19,0.05,-0.12,-0.05
"Rocky Mount, NC",-1.5,-0.19,0.13,0.51,-2.02,0.51,-0.04,-0.21,,-0.18,0.03,-0.16,,0.18
"Rome, GA",0.2,-0.05,0.22,0.01,-0.03,0.17,-0.67,-0.36,0.13,0.02,0.25,0.09,0.19,0.18
"Sacramento--Roseville--Arden-Arcade, CA",2.4,-0.07,0.31,-0.26,0.1,0.53,0.06,0.14,0.12,0.5,0.43,0.14,0.1,0.27
"Saginaw, MI",0.3,-0.03,-0.14,1.05,-0.06,0.38,0.14,-0.26,-0.72,0.01,0.32,0.06,-0.37,-0.09
"St. Cloud, MN",2.4,,,0.44,-0.3,0.46,0.06,-0.18,1.18,0.15,0.36,0.01,0.05,-0.05
"St. George, UT",5,0.03,0.49,0.54,0.24,0.67,0.63,,0.49,,0.65,0.23,,0.15
"St. Joseph, MO-KS",1.9,,,0.66,0.98,,,-0.32,0.06,0.23,0.77,0.05,0.05,-0.05
"St. Louis, MO-IL",0.5,-0.02,-0.1,0.1,-0.06,0.39,0.02,-0.22,,0.52,0.19,,,-0.11
"Salem, OR",1.9,-0.68,0.18,0.23,0.09,,,0.11,0.45,0.32,0.25,0.1,-0.03,0.25
"Salinas, CA",1.1,0.59,-0.03,-0.04,0.18,0.31,-0.01,-0.04,-0.5,0.08,0.42,0.14,-0.01,0.03
"Salisbury, MD-DE",2.6,,,,,0.22,,,1.19,0.52,0.24,0.1,0.04,0.19
"Salt Lake City, UT",2.5,,0.14,0.37,-0.09,0.16,0.13,,,,0.35,0.14,,0.13
"San Angelo, TX",-0.1,-0.47,-0.23,-0.1,0.09,0.36,0.34,-0.13,-0.04,0.23,,0,-0.16,-0.01
"San Antonio-New Braunfels, TX",4.6,2.47,-0.14,0.57,-0.1,,,0.02,0.63,0.56,0.22,0.13,0.04,-0.04
"San Diego-Carlsbad, CA",2.2,-0.02,0.03,0.13,0.18,1.19,-0.02,1.03,-0.4,-0.19,0.25,0.08,-0.01,-0.07
"San Francisco-Oakland-Hayward, CA",3.4,-0.07,0.12,0.45,-0.28,0.59,0.21,0.68,0.48,0.86,0.26,0.01,0.03,0.07
"San Jose-Sunnyvale-Santa Clara, CA",7.6,-0.02,0,2.51,-0.07,-0.34,0.3,,1.86,0.18,0.34,0.11,0.03,0.04
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",1.7,-0.16,0.07,0.04,-0.13,0.27,-0.1,0.14,0.13,0.76,0.33,0.13,0,0.18
"Santa Cruz-Watsonville, CA",0.6,-1.02,-0.12,0.56,-0.39,-0.34,0.07,-0.02,-0.2,1.12,0.58,0.15,-0.02,0.18
"Santa Fe, NM",1.6,-0.4,-0.12,-0.08,0.06,-0.03,0,1.17,1.07,0.45,-0.39,0.12,-0.04,-0.19
"Santa Maria-Santa Barbara, CA",1.6,0.33,-0.16,0.28,-0.29,0.41,0.01,1.02,-0.65,0.02,0.29,0.32,-0.03,0.09
"Santa Rosa, CA",3.2,-0.11,0.23,0.22,0.45,0.18,0,0.25,0.84,0.43,0.49,0.08,0.04,0.11
"Savannah, GA",3.6,0,0.36,0.58,0.19,0.74,0.96,0.17,0.02,0.37,0.04,0.02,0.04,0.15
"Scranton--Wilkes-Barre--Hazleton, PA",0.5,-0.76,0.49,0.32,0.24,0.04,-0.16,0,0.31,0.01,0.09,-0.07,0.03,-0.07
"Seattle-Tacoma-Bellevue, WA",5.2,-0.04,0.1,-0.28,0.04,2.13,0.14,1.45,0.33,0.53,0.26,0.29,0.03,0.18
"Sebastian-Vero Beach, FL",-2.5,-0.26,0.19,0.05,-0.31,-0.38,0.51,-0.04,-3.18,0.21,0.46,0.22,-0.02,0.07
"Sebring, FL",1.2,-0.34,-0.04,0.31,-0.43,0.43,0.3,-0.06,0.14,0.18,0.22,0.22,0.2,0.12
"Sheboygan, WI",2.9,-0.19,0.08,0.8,0.92,0.39,-0.03,0.02,0.18,0.1,0.4,0.08,0.06,0.04
"Sherman-Denison, TX",2.4,0.89,0.32,-0.11,0.04,0.44,-0.08,-0.16,-0.09,0.13,0.9,0.08,-0.07,0.1
"Shreveport-Bossier City, LA",1.5,2.55,-0.14,0.16,-1.07,-0.05,0.06,-0.2,0.25,0.23,-0.01,-0.14,0.09,-0.22
"Sierra Vista-Douglas, AZ",0.6,-0.22,0.04,-0.03,-0.02,0.18,0.09,-0.13,0.37,0.25,0.47,0.16,-0.02,-0.52
"Sioux City, IA-NE-SD",-4,-1.2,-4.81,0.27,1.86,0.08,0.12,0.01,-0.26,0.07,,-0.05,-0.21,-0.01
"Sioux Falls, SD",1.5,,0.05,,,0.22,-0.11,0.11,0.27,0.25,0.4,0.04,0.08,0.12
"South Bend-Mishawaka, IN-MI",0.6,-0.02,0.19,0.61,-0.19,-0.28,0.12,-0.04,0.11,-0.2,0.2,0.11,0.07,-0.09
"Spartanburg, SC",3.5,0,0.6,0.35,0.23,0.31,0.14,-0.08,0.75,0.92,0.43,-0.43,0.16,0.13
"Spokane-Spokane Valley, WA",2.5,0.04,0.25,-0.07,0.01,0.68,0.18,0.18,0.02,0.36,0.37,0.16,0.05,0.29
"Springfield, IL",-0.4,-0.21,-0.49,-0.05,-0.11,-0.18,,0.08,-0.58,0.54,,-0.11,-0.13,-0.12
"Springfield, MA",0.8,-0.06,0.15,,,0.78,-0.03,-0.06,-0.46,0.04,0.37,0.01,0.04,-0.16
"Springfield, MO",3.8,-0.03,0.03,0.29,0.55,-0.1,0.21,0.16,1.49,0.91,0.2,0.11,0.01,-0.06
"Springfield, OH",3.5,0.09,0.03,1.08,-0.08,0.45,0.25,-0.06,0.39,0.7,0.66,-0.01,-0.15,0.12
"State College, PA",1.7,-0.75,0.03,0.27,0.1,0.1,0.09,-0.17,1.95,-0.06,0.16,-0.03,-0.04,0.07
"Staunton-Waynesboro, VA",1.5,0.07,-0.08,0.44,0.84,-0.13,0.32,-0.26,-0.08,0.11,0.05,-0.04,0.07,0.2
"Stockton-Lodi, CA",2.2,-0.54,0.22,0.27,-0.39,0.58,0.76,0.04,0.38,0.01,0.27,0.14,0.26,0.16
"Sumter, SC",2.5,0.05,0.91,0.72,1.01,0.33,-0.05,-0.08,-0.39,0.14,0.17,-0.07,-0.11,-0.17
"Syracuse, NY",0.2,-0.02,-0.39,-0.02,0.31,0.01,0.77,-0.03,-0.72,0.26,0.04,0,0.07,-0.08
"Tallahassee, FL",3.1,-0.07,0.04,0.04,-0.06,0.03,0.11,,0.85,0.84,,0.1,-0.19,0.31
"Tampa-St. Petersburg-Clearwater, FL",1.7,-0.08,0.09,0.16,0.07,0.27,-0.35,-0.14,1.19,0.32,0.24,-0.09,0.01,0.02
"Terre Haute, IN",1.5,0.57,0.44,0.27,-0.35,0.03,-0.5,-0.01,0.61,0.35,0.22,0.12,-0.08,-0.2
"Texarkana, TX-AR",0.2,0.09,0.2,-0.06,-0.62,-0.44,0.31,0.01,0.19,0.22,0.5,-0.02,-0.08,-0.14
"The Villages, FL",3.8,-0.28,1.15,0.49,0.08,0.37,0.13,-0.03,-0.12,0.65,1.25,0.19,0.06,-0.14
"Toledo, OH",-0.6,-0.05,-0.24,-0.48,-0.13,0.14,0.1,-0.04,-0.34,0.17,0.14,0.01,0.03,0.14
"Topeka, KS",0.2,-0.11,-0.57,0.11,0.01,,,0.21,,0.37,0.03,0.06,,-0.16
"Trenton, NJ",-2.7,-0.02,-0.14,-0.07,-1.15,0.59,0.21,0.33,-1.76,-0.33,-0.13,-0.04,0.12,-0.33
"Tucson, AZ",2.9,,0.16,0.37,0.04,0.18,0.28,0.28,0.47,0.42,0.27,,-0.04,0.11
"Tulsa, OK",-1.1,-0.51,-0.24,0.34,-0.16,0.09,,0.07,-0.21,0.09,,-0.04,-0.02,-0.09
"Tuscaloosa, AL",5.3,4.41,-0.05,0.41,-0.01,0.14,0.01,0.1,-0.05,0.28,-0.01,0,0.01,0.09
"Twin Falls, ID",2.2,-0.47,0.01,0.1,0.73,0.5,0,,,0.41,0.63,0.1,0.1,0.12
"Tyler, TX",-0.4,-0.71,-0.01,-0.87,0.28,0.63,0,-0.62,0.22,0.59,0.21,0.04,-0.17,0.05
"Urban Honolulu, HI",1.7,-0.04,-0.4,0.01,-0.14,0.3,0.45,0.03,1.13,-0.03,0.22,0.36,0.02,-0.23
"Utica-Rome, NY",0.2,-0.05,-0.04,-0.12,0.22,0.31,0.06,-0.02,-0.5,0.14,0.16,0.1,0.07,-0.1
"Valdosta, GA",2.6,0.01,0.65,0.34,0.48,0.69,0.02,0.1,,,0.15,-0.15,-0.01,0.28
"Vallejo-Fairfield, CA",2.4,-0.15,0.1,0.1,0.64,0.15,0.12,0.14,0.64,0.35,0.29,-0.04,0.05,0.02
"Victoria, TX",0.9,3.39,,-0.04,-1.21,0.34,,-0.09,-0.24,-0.14,-0.57,-0.07,,0.12
"Vineland-Bridgeton, NJ",-0.6,-0.32,-0.64,0.02,0.24,0.93,,0.11,-0.18,,0.32,0.01,-0.06,-0.49
"Virginia Beach-Norfolk-Newport News, VA-NC",1,0,0.05,0.16,0.04,0.1,0.04,0.07,0.26,0.4,0.04,-0.01,-0.02,-0.14
"Visalia-Porterville, CA",-6.6,-2.4,0.05,0.1,0.29,-0.57,0.15,0.28,-5.4,0.34,0.21,0.06,0.01,0.22
"Waco, TX",3.3,0.19,-0.11,0.68,0.04,0.49,0.03,-0.06,1.74,0.16,0.12,0.14,-0.14,0.05
"Walla Walla, WA",-3.2,-1.56,-0.1,-0.26,0.09,,,0,-1.49,0.26,0.05,0.27,-0.19,0.25
"Warner Robins, GA",0,0.02,-0.03,-0.35,0.41,0.15,-0.03,,-0.37,0.4,-0.03,0.17,0.04,-0.27
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.1,0.02,0.02,,0.11,0.18,,,0.63,0.62,0.13,0.13,0.04,-0.07
"Waterloo-Cedar Falls, IA",3.3,-0.15,0.03,1.79,0.69,0.12,-0.03,0.14,0.62,-0.04,0.07,-0.03,0.12,0
"Watertown-Fort Drum, NY",-2.3,-0.01,-0.32,-0.13,-0.84,0.07,-0.04,-0.05,-0.03,0.15,0.15,0.06,0.03,-1.35
"Wausau, WI",2,-0.43,-0.15,0.18,0.29,0.74,-0.02,0,0.47,0.14,0.65,0.07,-0.01,0.04
"Weirton-Steubenville, WV-OH",-1,0.22,0.2,-0.13,-1.1,-0.23,0.06,,-0.11,0.55,0.14,-0.26,-0.22,0.03
"Wenatchee, WA",4.6,-0.25,0.33,-0.49,0.19,0.6,-0.05,0.08,2.72,0.44,0.44,0.21,0.05,0.37
"Wheeling, WV-OH",10.9,,4.24,,-0.27,0.31,0.46,-0.17,4.33,1.99,-0.29,0.01,-0.02,-0.01
"Wichita, KS",-1.4,,-0.19,-0.21,0.17,,,0.05,-0.9,0.01,0.04,-0.02,0.04,-0.11
"Wichita Falls, TX",5.1,,-0.26,,,0.44,-0.57,,-0.4,0.43,0.35,,-0.1,-0.04
"Williamsport, PA",2.6,0.7,0.66,-0.04,-0.08,-0.18,0.13,0.07,0.73,0.49,0.29,-0.07,-0.06,0
"Wilmington, NC",2.9,-0.05,-0.16,-1.08,-0.1,0.4,0.15,0.47,1.07,1.36,0.35,0.11,0.18,0.17
"Winchester, VA-WV",2.7,0.08,0.18,0.23,1.27,0.16,0.13,,-0.09,0.31,0.31,,0.1,0.01
"Winston-Salem, NC",2.3,0.04,0.01,0.44,0.84,,,-0.05,-0.86,1.19,0.24,0.06,0.03,0.09
"Worcester, MA-CT",2.4,-0.06,0.14,0.65,-0.82,0.38,1.13,-0.28,,0.91,0.21,0.16,0,-0.1
"Yakima, WA",0.5,-2.43,-0.14,0.12,0.38,0.68,-0.08,-0.03,0.27,0.82,0.32,0.22,0.02,0.35
"York-Hanover, PA",2.7,0.23,0.1,0.26,0.31,0.24,-0.01,0.1,0.27,0.58,0.48,0.01,0.21,-0.1
"Youngstown-Warren-Boardman, OH-PA",-2,-0.43,0.17,-1.68,0.03,0.36,0.14,-0.01,-0.55,-0.35,0.21,0,0,0.1
"Yuba City, CA",2.3,-0.05,0.46,0.13,-0.13,0.68,0.29,0.02,0.24,0.18,0.31,0.1,0.07,-0.01
"Yuma, AZ",0.3,-1.26,0.19,0.1,-0.01,0.44,0.24,0.02,-0.19,0.08,0.66,0.12,0.09,-0.14
